ExportID,Export Country,Date,ProductID,CompanyID
92e4d0ee-80e7-4ca2-8091-b52c40f41130,Austria,11/16/2023,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,4ca4ae37-4d8e-450f-b765-5dd817b63e60
90683409-e7ec-4f44-ae35-dee97fd6875d,Germany,1/8/2021,f318e902-c064-4492-b6db-59ffc5e707a9,82b2b311-f2ff-4ed1-8c15-084151b87b8e
c6a78351-4a7a-48fa-a027-599793414fc0,Germany,10/14/2020,6e97fec3-5087-4cfb-b228-a853b4241814,4ca4ae37-4d8e-450f-b765-5dd817b63e60
b089df4d-c9ad-474f-a002-f42f5b5b253e,Belgium,12/31/2022,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,543d0c50-c195-4295-9236-a2cea9077f25
927e64b9-5e96-4605-8f58-a7454ceaa350,France,12/19/2022,8052affb-2c38-4b57-9cc1-7c58baa43318,f3177906-348d-465e-8375-4e0950dd46ea
11a9f8b1-8779-4c8d-b14e-ebef7119182d,Netherlands,7/13/2021,f318e902-c064-4492-b6db-59ffc5e707a9,46d7f670-3062-4bac-a342-c926208c2b72
c4357dee-74d7-4c6f-b81c-7b25587a1e44,Denmark,2/22/2022,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,d0b9567a-5fe8-4e28-bc5d-617d88d97cfb
1816fe28-c74a-4795-9b47-2dfba9719c72,Sweden,3/22/2021,8052affb-2c38-4b57-9cc1-7c58baa43318,543d0c50-c195-4295-9236-a2cea9077f25
6885fca8-adcc-49c3-b802-d7fe90e3bf65,Denmark,8/1/2022,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,5c3b3005-b466-466f-b2c8-6292a26950e3
9b7aa91e-7308-4bbb-9183-f99eb825fda9,Netherlands,11/26/2020,fee76aa2-6ca9-4122-b8a5-9f730e57a755,e4d53a36-a65b-4a04-ae78-2f7090f4d668
8e936948-878d-4e3f-accf-55a5f5e183fe,Switzerland,12/10/2022,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,543d0c50-c195-4295-9236-a2cea9077f25
8f707b22-cc10-4e5e-ba14-81cca244aea3,Italy,6/21/2021,49e4afe8-1dc6-487e-b664-627d2731ca36,fa168eef-e321-4d38-9faf-df8c13572249
e7f07bda-ac69-4833-b8d1-8ce99c5d3bde,Denmark,8/26/2022,fee76aa2-6ca9-4122-b8a5-9f730e57a755,fa168eef-e321-4d38-9faf-df8c13572249
e1d59df2-6713-4c76-8db8-c9d9cad20052,Spain,10/14/2020,6e97fec3-5087-4cfb-b228-a853b4241814,071b9916-1458-4dc6-a7f4-b662eb2b3216
4b7e68e5-a2b9-4284-beba-fe9237ed4f73,Italy,7/10/2023,31af3ab3-850b-4bf2-8925-72bedd0597e6,46d7f670-3062-4bac-a342-c926208c2b72
3150556e-f066-40b3-9c93-b6cbad862854,Sweden,6/19/2021,31af3ab3-850b-4bf2-8925-72bedd0597e6,e4d53a36-a65b-4a04-ae78-2f7090f4d668
55fa85dd-407d-478d-8a3a-62e7a1d2350d,Austria,6/17/2022,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,d0b9567a-5fe8-4e28-bc5d-617d88d97cfb
782cf74d-57fc-4f89-95c0-addb162418aa,Denmark,3/14/2021,6e97fec3-5087-4cfb-b228-a853b4241814,5c3b3005-b466-466f-b2c8-6292a26950e3
b12fecbb-c6f7-4b17-9ffd-64ff3d7d5690,Sweden,6/27/2021,c87cce8f-5ccf-433d-88db-c9dcf502b9c6,4ca4ae37-4d8e-450f-b765-5dd817b63e60
fb98b7c5-027d-4951-b808-fd0e0bc89148,Netherlands,12/23/2023,31af3ab3-850b-4bf2-8925-72bedd0597e6,f3177906-348d-465e-8375-4e0950dd46ea
29c2de33-627b-4a25-9920-6b00fd7fd02b,Belgium,8/24/2022,f318e902-c064-4492-b6db-59ffc5e707a9,071b9916-1458-4dc6-a7f4-b662eb2b3216
f4bf066f-37f6-4a0e-ad8f-f1587dafa5de,Sweden,6/2/2022,a0d3307d-46f2-4e65-87d9-5b2f0e11ceb3,fa168eef-e321-4d38-9faf-df8c13572249
dcf959af-afa7-4c7a-9c2a-8206c6c5c691,France,7/14/2020,8052affb-2c38-4b57-9cc1-7c58baa43318,5c3b3005-b466-466f-b2c8-6292a26950e3
050341f6-ab9f-4da8-abf9-4759b9d0910d,Sweden,10/13/2022,fee76aa2-6ca9-4122-b8a5-9f730e57a755,e4d53a36-a65b-4a04-ae78-2f7090f4d668
