CompanyID,CompanyName
4ca4ae37-4d8e-450f-b765-5dd817b63e60,Farmgate Nigeria Limited
82b2b311-f2ff-4ed1-8c15-084151b87b8e,Prime Agro Exports Nigeria Limited
543d0c50-c195-4295-9236-a2cea9077f25,Nigerian Export Promotion Council (NEPC)
f3177906-348d-465e-8375-4e0950dd46ea,Nigeria Agro Export Company
46d7f670-3062-4bac-a342-c926208c2b72,Greenfield Agro Exporters Nigeria Limited
d0b9567a-5fe8-4e28-bc5d-617d88d97cfb,Solid Agro Nigeria Limited
5c3b3005-b466-466f-b2c8-6292a26950e3,Agro Export Nigeria Ltd
e4d53a36-a65b-4a04-ae78-2f7090f4d668,Golden Farms Nigeria Limited
fa168eef-e321-4d38-9faf-df8c13572249,Agriplus Nigeria Limited
071b9916-1458-4dc6-a7f4-b662eb2b3216,Agro Allied Exporters Nigeria Limited
